objectid,parentid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
podcast,,hbc_hist_list.mp3,,"Hudson’s Bay Company: Canadian Identity, Commercialism, and Commemoration",audio/mp3,"In this episode, we examine the Hudson's Bay Company (HBC) and The Bay's history. The company's fur trade origins, interactions with its history, and its attempts at reconciliation with Canadian Indigenous communities are discussed throughout the episode. Professor Carolyn Podruchny, who is a fur trade historian and history professor at York University, was our special guest in this episode of The Hist List. ","Kaylah Christie, Jackson Li, & Maryam Noor",,,,audio,Hudson's Bay Company,,,,,,,,,,,,,
beaver01,,the-beaver-first-cover-1920.jpg,,First Issue of The Beaver,image/jpeg,This is the cover of the first issue of The Beaver magazine that was released in October 1920.,Hudson's Bay Company,,1920,yes,photographs,The Beaver,,,,,Canada's History Archive,,,,In copyright,,Image;Stillimage,eng,
beaver02,,the-beaver-final-cover-2010.jpg,,“Last” Issue of The Beaver,image/jpeg,This is the cover of the final issue of the magazine that used The Beaver name before being rebranded as Canada’s History. It was available from February 2010 to March 2010. ,Canada’s National History Society,,2010,yes,photographs,The Beaver,,,,,Canada's History Archive,,,,In copyright,,Image;Stillimage,eng,
winnipegstore01,,the-bay-winnipeg-store-2014.jpg,,The Bay’s Flagship Store in Downtown Winnipeg,image/jpeg,This is a photograph of The Bay’s flagship store located in Downtown Winnipeg. It was taken during September 2014.,George Penner (photographer of the image),,2014,yes,photographs,The Bay,"WInnipeg, Manitoba",49.88752824,-97.20000011,,Manitoba Historical Society Archives,,,,In copyright,,Image;Stillimage,eng,
scohub01,,sco-renovated-bay-atrium-2022.jpg,,Concept Art of the Southern Chiefs’ Organization’s Rendition of the Renovated Store,image/jpeg,This is a piece of concept art that depicts the Southern Chiefs’ Organization vision for The Bay’s flagship store in Downtown Winnipeg after its renovations. The store will be used as a central hub for Winnipeg’s Indigenous community and it is set to open sometime in 2026.,Southern Chiefs’ Organization,,2022,yes,photographs,Southern Chiefs’ Organization,"Winnipeg, Manitoba",,,,Southern Chiefs’ Organization,,,,In copyright,,Image;Stillimage,eng,
fort_garry_settlement,,fort_garry_settlement.jpg,,"HBC, Fort Garry, Red River Settlement",image/jpeg,"This is a watercolour over pencil art creation depicting a view of the Fort Garry, Red River settlement.",James Lockhart,,1868,yes,photographs,Fort Garry,"Winnipeg, Manitoba",,,,Library and Archives Canada,,,,In copyright,,Image;StillImage,eng,
HBC_post_trappers,,HBC_post_trappers.jpg,,Hudson's Bay Post,image/jpeg,A shop of the Hudson's Bay where trappers and Indians sell their furs partly in exchange.,Felix H. Man,,1933,yes,photographs,Hudson's Bay Company,Northwest Territories,,,,Library and Archives Canada,,,,In copyright,,Image;StillImage,eng,
HBC_store,,HBC_store.jpg,,"Hudson's bay Store, Bear Island, Timagami, Ontario",image/jpeg,"A photograph of an HBC store on Bear Island, Northeastern Ontario.",Canadian National Railways,,1925,yes,photographs,Hudson's Bay Company,"Bear Island, Ontario",,,,TPL Digital Archive,,,,In copyright,,Image;StillImage,eng,
Poundmaker_in_blanket,,Poundmaker_in_blanket.jpg,,"Cree Chief ""Poundmaker"" in HBC Blanket",image/jpeg,Cree Chief Pitikwahanapiwiyin (Poundmaker) with a point blanket.,James Peters,,1885,yes,photographs,HBC Point Blanket,Saskatchewan,,,,Library and Archives Canada,,,,In copyright,,Image;StillImage,eng,
hbcblanket,,hbc_blanket.png,,Oshki Wupoowane (Multistripe Point Blanket),image/jpeg,This a picture of the current version of the HBC's point blanket that can be found on the Bay's website.,Unknown,,,,photographs,HBC Point Blanket;The Bay,,,,,Hudson's Bay,,,,In copyright,,Image;StillImage,eng,
hbcsocks,,hbc_socks.png,,HBC Multistripe Trouser Socks,image/jpeg,This is a picture of socks with the HBC stripes being sold on The Bay's website.,Unknown,,,,photographs,HBC Point Blanket;The Bay,,,,,Hudson's Bay,,,,In copyright,,Image;StillImage,eng,
